Region	Nombre Oficina	Codigo de Oficina	Nombre de Host Oficina	DisplayName	Serial	IPv4Address
Metro I	I.E.S.A	9948	9948MFAP01	Canon iR1025	DRL37783	10.10.13.200
Oriente	Maturin La Cascada	9503	9503MFTQ01	Canon iR1025	DRL37786	10.10.1.200
Occidente	Las Tapias	9892	9892MFTQ01	Canon iR1025	DRL37787	10.14.7.200
Metro I	San Francisco (H)	9211	9211MFGE01	Canon iR1025	DRL51898	10.11.29.205
Metro I	Av. Francisco Solano	9214	9214MFCO01	Canon iR1025	DRL37936	10.10.6.202
Metro I	San Francisco (H)	9211	9211MFEN01	Canon iR2525	FRU46126	10.11.29.204
Oriente	Las Garzas	9655	9655MFGE03	Canon iR1025	DRL37941	10.10.206.206
Metro I	Hosp. Clinicas Caracas	9935	9935MFAP01	Canon iR1025	DRL37947	10.11.98.200
Centro Occidental	Guanare	9832	9832MFGE01	Canon iR1025	DRL37949	10.10.60.200
Occidente	Mérida	9822	9822MFGE01	Canon iR1025	DRL37951	10.10.80.201
Metro I	Santa Mónica	9232	9232MFTQ01	Canon iR1025	DRL37952	10.10.125.203
Metro I	San Francisco (H)	9211	9211MFTQ01	Canon iR1025	DRL37991	10.11.29.202
Metro II	El Rosal	9224	9224MFTQ01	Canon iR1025	DRL38000	10.10.180.204
Metro II	El Rosal	9224	9224MFAP01	Canon iR1025	DRL38005	10.10.180.203
Metro I	Casa Bera	9203	9203MFGE01	Canon iR1025	DRL38009	10.14.72.200
Occidente	Barrio Obrero	9963	9963MFTQ01	Canon iR1025	DRL39190	10.11.99.201
Occidente	La Concordia	9837	9837MFTQ01	Canon iR1025	DRL39193	10.14.11.204
Occidente	San Cristobal II	9895	9895MFTQ01	Canon iR1025	DRL39198	10.14.12.201
Centro Occidental	Plaza Bolivar	9410	9410MFCO01	Canon iR1025	DRL39401	10.11.25.200
Centro Occidental	San Diego	9467	9467MFCO01	Canon iR1025	DRL39403	10.10.158.201
Centro Occidental	Lomas Del Este	9420	9420MFTQ01	Canon iR1025	DRL39438	10.10.100.110
Metro II	Concresa	9231	9231MFTQ01	Canon iR1025	DRL43466	10.14.93.201
Centro Occidental	El Recreo	9425	9425MFTQ01	Canon iR1025	DRL43476	10.10.171.207
Metro II	Centro Plaza	9294	9294MFGE01	Canon iR1025	DRL43547	10.14.47.204
Metro II	La Trinidad	9228	9228MFAP01	Canon iR2525	FRU47935	10.14.8.201
Metro II	Universidad Metropolitana	9927	9927MFAP01	Canon iR1025	DRL43565	10.10.184.201
Oriente	Lecherias	9538	9538MFAP01	Canon iR1025	DRL43579	10.10.163.200
Centro Occidental	San Blas	9430	9430MFTQ01	Canon iR1025	DRL43583	10.11.11.200
Centro Occidental	Barquisimeto	9833	9833MFGE01	Canon iR1025	DRL43591	10.10.230.200
Centro Occidental	Barinas  	9831	9831MFEN01	Canon iR1025	DRL43598	10.11.9.201
Metro II	Altamira	9221	9221MFBC01	Canon iR1025	DRL43601	10.10.141.201
Metro I	Multiplazas El Paraiso	9264	9264MFTQ01	Canon iR1025	DRL43605	10.11.23.201
Metro I	La Guaira	9241	9241MFAP01	Canon iR2525	FRU40598	10.10.145.200
Metro I	La Guaira	9241	9241MFGE01	Canon iR1025	DRL54932	10.10.145.202
Metro II	CMD La Trinidad	9940	9940MFAP01	Canon iR1025	DRL43607	10.10.97.200
Occidente	Sambil Paraguana	9499	9499MFTQ01	Canon iR1025	DRL45547	10.10.240.200
Oriente	Guaraguao	9567	9567MFAP01	Canon iR1025	DRL45555	10.11.83.200
Occidente	Coro	9826	9826MFGE01	Canon iR1025	DRL45563	10.10.146.201
Metro I	La Candelaria	9252	9252MFAP01	Canon iR2525	FRU38985	10.11.13.201
Metro I	La Candelaria	9252	9252MFCO01	Canon iR1025	DRL37997	10.11.13.200
Occidente	Plaza Republica	9813	9813MFTQ01	Canon iR1025	DRL45567	10.10.64.200
Centro Occidental	Alianza Mall Guacara	9485	9485MFTQ01	Canon iR1025	DRL45570	10.10.65.201
Centro Occidental	Puerto Cabello	9470	9470MFCO01	Canon iR1025	DRL45572	10.10.222.200
Metro I	Sede Principal	9219	9219MFAP01	Canon iR1025	DRL49247	10.0.20.230
Occidente	Ciudad Ojeda	9816	9816MFBO01	Canon iR1025	DRL49254	10.10.72.200
Occidente	Santa Bárbara Del Zulia	9814	9814MFAP01	Canon iR1025	DRL49255	10.10.14.200
Occidente	La Limpia	9884	9884MFGE01	Canon iR1025	DRL49256	10.14.16.200
Metro I	Caraballeda	9268	9268MFAP01	Canon iR1025	DRL38007	10.10.188.201
Metro II	San Ignacio	9269	9269MFAP01	Canon iR1025	DRL37752	10.10.40.200
Metro I	Av. Presidente Medina	9905	9905MFTQ01	Canon iR1025	DRL51016	10.11.28.203
Metro II	C.C. Tolon las Mercedes	9270	9270MFGE01	Canon iR1025	DRL51768	
Metro II	C.C. Tolon las Mercedes	9270	9270MFAP01	Canon iR1025	DRL37939	10.10.11.201
Centro Occidental	Sambil Barquisimeto	9446	9446MFGE01	Canon iR1025	DRL51800	10.10.52.202
Oriente	Cumana	9630	9630MFTQ01	Canon iR1025	DRL51803	10.11.32.201
Metro I	Bello  Monte	9272	9272MFGE01	Canon iR1025	DRL37767	10.14.90.201
Oriente	Puerto La Cruz	9610	9610MFTQ01	Canon iR1025	DRL51879	10.10.81.208
Metro I	Quinta Crespo	9299	9299MFTQ01	Canon iR1025	DRL51893	
Metro II	C.C. Lider	9282	9282MFGE01	Canon iR1025	DRL43570	10.10.162.202
Oriente	Las Garzas	9655	9655MFBP01	Canon iR1025	DRL51895	10.10.206.204
Metro II	C.C. Lider	9282	9282MFAP01	Canon iR2525	FRU47914	
Metro I	Ucab	9929	9929MFAP01	Canon iR1025	DRL51907	10.11.36.200
Metro II	Macaracuay	9283	9283MFAP01	Canon iR2525	FRU47916	10.10.77.10
Metro II	Macaracuay	9283	9283MFGE01	Canon iR1025	DRL43603	10.10.77.201
Metro II	La Urbina	9284	9284MFAP01	Canon iR1025	DRL52037	
Metro II	La Urbina	9284	9284MFAP01	Canon iR2525	FRU38037	
Oriente	Carupano	9570	9570MFTQ01	Canon iR1025	DRL51909	10.10.129.203
Metro II	La Trinidad	9228	9228MFTQ01	Canon iR1025	DRL51911	10.14.8.200
Metro I	Centro Médico II	9914	9914MFAP01	Canon iR1025	DRL51912	10.10.120.200
Metro I	Catia La Mar	9226	9226MFCO01	Canon iR1025	DRL52039	10.10.78.201
Occidente	Bella Vista	9818	9818MFTQ01	Canon iR1025	DRL52588	10.11.1.201
Metro II	Altamira (Mercantil Arte y Cultura)	9221	9221MFCU01	Canon iR1025	DRL52598	10.140.0.200
Centro Occidental	Las Tejerias	9311	9311MFAP01	Canon iR1025	DRL52641	10.10.8.201
Metro II	Terrazas Del Ávila	9218	9218MFAP01	Canon iR1025	DRL52642	10.10.48.200
Occidente	Villa Del Rosario	9827	9827MFTQ01	Canon iR1025	DRL52647	10.11.6.201
Centro Occidental	La Morita	9397	9397MFCO01	Canon iR1025	DRL52650	10.10.166.200
Metro II	Los Ruices	9238	9238MFTQ01	Canon iR1025	DRL52652	10.10.7.201
Metro II	Boleita	9295	9295MFAP01	Canon iR2525	FRU46101	10.10.3.201
Metro II	Boleita	9295	9295MFGE01	Canon iR1025	DRL43573	10.10.3.200
